date,229016-26 - Starkware,Monthly Returns - Issuer,Monthly Returns - Pod
5/31/18,1,,
6/30/18,1.003427688,0.0034276876877166,0.0034276876877165
7/31/18,1.00856306,0.0051178301467318,0.0051178301467318
8/31/18,1.15179874,0.14201955828597,0.14201955828597
9/30/18,1.100386931,-0.044636105046766,-0.044636105046766
10/31/18,0.9366874,-0.1487654264004,-0.1487654264004
11/30/18,0.934287343,-0.0025622814685314,-0.0025622814685314
12/31/18,1.24926557,0.33713207085776,-0.032204797052850
1/31/19,1.425392209,0.14098414535403,0.14098414535403
2/28/19,1.669392286,0.17118100961878,0.17118100961878
3/31/19,1.686502716,0.010249496043819,0.010249496043818
4/30/19,1.759722965,0.043415435328732,0.043415435328732
5/31/19,1.537926212,-0.12604072205494,-0.12604072205494
6/30/19,1.610076624,0.04691409219711,0.046914092197111
7/31/19,1.555235116,-0.034061427462539,-0.034061427462539
8/31/19,1.333254245,-0.1427313908766,-0.1427313908766
9/30/19,1.365875993,0.024467762245864,0.024467762245864
10/31/19,1.324304731,-0.030435604293487,-0.030435604293487
11/30/19,1.426168955,0.076919021186721,0.076919021186721
12/31/19,1.361803727,-0.045131558954441,-0.045131558954441
1/31/20,1.502180158,0.10308125066059,0.10308125066059
2/29/20,1.282446641,-0.1462764075909,-0.14627640759098
3/31/20,1.075744465,-0.16117799307269,-0.16117799307269
4/30/20,1.237496525,0.15036290240792,0.15036290240792
5/31/20,1.645576913,0.32976285541676,0.32976285541676
6/30/20,1.72170073,0.046259652792920,0.046259652792920
7/31/20,1.980075645,0.15006958564531,0.15006958564531
8/31/20,2.190026051,0.10603150792720,0.10603150792720
9/30/20,2.081179621,-0.049700974844467,-0.049700974844467
10/31/20,2.022289354,-0.028296580675442,-0.028296580675442
11/30/20,2.519875432,0.246050881267,0.246050881267
12/31/20,3.046878504,0.20913854109961,0.20913854109961
1/31/21,3.119974135,0.023990333534056,0.023990333534056
2/28/21,3.203246355,0.026690035052578,0.026690035052578
3/31/21,2.879175912,-0.10116937847115,-0.10116937847115
4/30/21,2.896696252,0.0060851926977689,0.0060851926977687
5/31/21,2.861796297,-0.012048192771084,-0.012048192771084
6/30/21,4.537005668,0.5853698853965,0.021472814865794
7/31/21,4.527926555,-0.0020011243775769,-0.0020011243775767
8/31/21,4.614929274,0.019214693154996,0.019214693154996
9/30/21,4.47219951,-0.030927833591903,-0.030927833591903
10/31/21,5.483814247,0.22620071743805,0.22620071743805
11/30/21,17.88316836,2.2610820780919,-0.0038638004907316
12/31/21,15.94204551,-0.10854468347779,-0.10854468347779
1/31/22,12.59223725,-0.21012411881231,-0.21012411881231
2/28/22,13.45353515,0.068399116710844,0.068399116710844
3/31/22,13.45122674,-0.00017158378502912,-0.00017158378502918
4/30/22,10.48101471,-0.22081346830673,-0.22081346830673
5/31/22,70.63851503,5.7396637597238,-0.24941082045092
6/30/22,52.92877657,-0.2507093821510,-0.2507093821510
7/31/22,66.13124359,0.2494383561521,0.2494383561521
8/31/22,61.63688588,-0.06796118548581,-0.06796118548581
9/30/22,55.05011326,-0.10686413702616,-0.10686413702616
10/31/22,57.11209804,0.037456503909359,0.037456503909359
11/30/22,48.45910181,-0.15150898904132,-0.15150898904132
12/31/22,35.04093666,-0.27689669529206,-0.27689669529206
1/31/23,42.85849711,0.22309793048155,0.22309793048155
2/28/23,42.08781948,-0.017981909837271,-0.017981909837271
3/31/23,43.30087157,0.02882192776076,0.02882192776076
4/30/23,39.1747855,-0.095288753428237,-0.095288753428237
5/31/23,43.25289272,0.10410030778128,0.10410030778128
6/30/23,50.77255114,0.17385330649962,0.17385330649962
7/31/23,56.20236223,0.10694383016364,0.10694383016364
8/31/23,48.59679581,-0.13532467532467,-0.13532467532467
9/30/23,43.51398789,-0.10459142066222,-0.10459142066222
